step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.515,7.9992,80.5075,0,-,2.0000000000000002e-07,5.7,15.3001
2,0,0.4702,7.8279,78.7494,0,-,4.0000000000000003e-07,6.41,0.0564
3,0,0.4892,7.6275,76.7638,0,-,6.000000000000001e-07,6.41,0.0726
4,0,0.4767,7.4738,75.2152,0,-,8.000000000000001e-07,6.41,0.0736
5,0,0.5054,7.3373,73.8782,0,-,1.0000000000000002e-06,6.41,0.0723
6,0,0.455,7.1199,71.6539,0,-,1.2000000000000002e-06,6.41,0.0766
7,0,0.4655,7.0434,70.8992,0,-,1.4000000000000001e-06,6.41,0.0841
8,0,0.4733,6.7642,68.1156,0,-,1.6000000000000001e-06,6.41,0.0824
9,0,0.4966,6.4168,64.6643,0,-,1.8e-06,6.41,0.0731
10,0,0.5098,5.999,60.4999,0,-,2.0000000000000003e-06,6.41,0.0733
11,0,0.546,5.554,56.0865,0,-,2.2e-06,6.41,0.0719
12,0,0.5213,5.3028,53.5495,0,-,2.4000000000000003e-06,6.41,0.0708
13,0,0.5396,4.7841,48.3804,0,-,2.6e-06,6.41,0.0721
14,0,0.4382,4.5694,46.1318,0,-,2.8000000000000003e-06,6.41,0.0783
15,0,0.52,4.1319,41.8389,0,-,3e-06,6.41,0.0657
16,0,0.53,3.7148,37.678,0,-,3.2000000000000003e-06,6.41,0.0706
17,0,0.4583,3.3926,34.3844,0,-,3.4000000000000005e-06,6.41,0.0776
18,0,0.4741,2.9408,29.8821,0,-,3.6e-06,6.41,0.0683
19,0,0.5271,2.627,26.7974,0,-,3.8e-06,6.41,0.072
20,0,0.4805,2.2367,22.8479,0,-,4.000000000000001e-06,6.41,0.0733
21,0,0.4878,2.0197,20.6849,0,-,4.2000000000000004e-06,6.41,0.0719
22,0,0.4819,1.7927,18.4087,0,-,4.4e-06,6.41,0.0752
23,0,0.5142,1.5109,15.6232,0,-,4.6e-06,6.41,0.0734
24,0,0.5224,1.3848,14.3706,0,-,4.800000000000001e-06,6.41,0.0762
25,0,0.4324,1.3278,13.7103,0,-,5e-06,6.41,0.0751
26,0,0.4715,1.2335,12.8063,0,-,5.2e-06,6.41,0.0734
27,0,0.4717,1.1731,12.2028,0,-,5.4e-06,6.41,0.0758
28,0,0.5579,1.0875,11.4327,0,-,5.600000000000001e-06,6.41,0.0728
29,0,0.5339,1.0521,11.0546,0,-,5.8e-06,6.41,0.0727
30,0,0.4906,1.0949,11.4393,0,-,6e-06,6.41,0.0778
31,0,0.4477,1.0839,11.2864,0,-,6.2e-06,6.4,0.0719
32,0,0.4102,1.0994,11.4045,0,-,6.4000000000000006e-06,6.4,0.0734
33,0,0.4661,0.9819,10.285,0,-,6.6e-06,6.41,0.0778
34,0,0.4657,0.9882,10.3474,0,-,6.800000000000001e-06,6.4,0.0745
35,0,0.517,0.9604,10.1206,0,-,7.000000000000001e-06,6.4,0.0756
36,0,0.483,0.8903,9.3861,0,-,7.2e-06,6.41,0.0793
37,0,0.5049,0.8456,8.9613,0,-,7.4e-06,6.4,0.0744
38,0,0.4846,0.8862,9.3463,0,-,7.6e-06,6.4,0.0741
39,0,0.5109,0.775,8.2607,0,-,7.8e-06,6.4,0.0736
40,0,0.4648,0.7976,8.441,0,-,8.000000000000001e-06,6.41,0.0759
41,0,0.479,0.7324,7.8029,0,-,8.200000000000001e-06,6.41,0.08
42,0,0.4428,0.7773,8.2155,0,-,8.400000000000001e-06,6.4,0.0741
43,0,0.4694,0.6682,7.1515,0,-,8.599999999999999e-06,6.41,0.0711
44,0,0.5328,0.6551,7.0842,0,-,8.8e-06,6.41,0.0743
45,0,0.4766,0.6144,6.6202,0,-,9e-06,6.4,0.0755
46,0,0.4329,0.6137,6.5698,0,-,9.2e-06,6.4,0.0753
47,0,0.4837,0.6112,6.5959,0,-,9.4e-06,6.41,0.0734
48,0,0.4946,0.589,6.3848,0,-,9.600000000000001e-06,6.4,0.0722
49,0,0.5286,0.5685,6.2132,0,-,9.800000000000001e-06,6.41,0.0717
50,0,0.454,0.5561,6.015,0,-,1e-05,6.41,0.0719
51,0,0.4986,0.5546,6.0443,0,-,1.02e-05,6.41,0.0779
52,0,0.4645,0.5264,5.7287,0,-,1.04e-05,6.41,0.0727
53,0,0.4254,0.5368,5.7931,0,-,1.06e-05,6.41,0.0835
